Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,27.540001,28.530001,23.049999,23.219999,23.219999,0
2019-01-03,25.680000,26.600000,24.049999,25.450001,25.450001,0
2019-01-04,24.360001,24.480000,21.190001,21.379999,21.379999,0
2019-01-07,22.059999,22.709999,20.910000,21.400000,21.400000,0
2019-01-08,20.959999,22.030001,20.090000,20.469999,20.469999,0
2019-01-09,20.440001,22.799999,19.480000,19.980000,19.980000,0
2019-01-10,20.980000,21.320000,19.290001,19.500000,19.500000,0
2019-01-11,19.680000,20.160000,18.120001,18.190001,18.190001,0
2019-01-14,19.840000,20.270000,18.700001,19.070000,19.070000,0
2019-01-15,18.530001,19.200001,17.980000,18.600000,18.600000,0
2019-01-16,18.080000,19.040001,17.760000,19.040001,19.040001,0
2019-01-17,19.510000,19.719999,17.850000,18.059999,18.059999,0
2019-01-18,17.799999,18.180000,17.170000,17.799999,17.799999,0
2019-01-21,null,null,null,null,null,null
2019-01-22,18.530001,21.150000,18.200001,20.799999,20.799999,0
2019-01-23,20.850000,22.020000,19.469999,19.520000,19.520000,0
2019-01-24,19.690001,20.250000,18.629999,18.889999,18.889999,0
2019-01-25,18.430000,18.459999,17.309999,17.420000,17.420000,0
2019-01-28,18.559999,20.420000,18.420000,18.870001,18.870001,0
2019-01-29,19.450001,19.930000,18.420000,19.129999,19.129999,0
2019-01-30,19.150000,19.309999,17.540001,17.660000,17.660000,0
2019-01-31,17.389999,17.719999,16.540001,16.570000,16.570000,0
2019-02-01,16.629999,16.830000,16.080000,16.139999,16.139999,0
2019-02-04,16.719999,16.730000,15.600000,15.730000,15.730000,0
2019-02-05,15.790000,15.940000,15.040000,15.570000,15.570000,0
2019-02-06,15.440000,15.870000,15.090000,15.380000,15.380000,0
2019-02-07,15.660000,17.889999,15.510000,16.370001,16.370001,0
2019-02-08,16.809999,17.629999,15.620000,15.720000,15.720000,0
2019-02-11,16.170000,16.500000,15.340000,15.970000,15.970000,0
2019-02-12,15.230000,15.650000,14.950000,15.430000,15.430000,0
2019-02-13,15.460000,15.910000,15.000000,15.650000,15.650000,0
2019-02-14,15.610000,17.270000,15.300000,16.219999,16.219999,0
2019-02-15,16.820000,16.820000,14.790000,14.910000,14.910000,0
2019-02-18,null,null,null,null,null,null
2019-02-19,15.650000,16.160000,14.640000,14.880000,14.880000,0
2019-02-20,14.920000,15.190000,13.990000,14.020000,14.020000,0
2019-02-21,14.000000,15.170000,13.850000,14.460000,14.460000,0
2019-02-22,14.460000,14.470000,13.510000,13.510000,13.510000,0
2019-02-25,13.910000,14.900000,13.440000,14.850000,14.850000,0
2019-02-26,15.160000,15.280000,14.520000,15.170000,15.170000,0
2019-02-27,15.530000,16.170000,14.700000,14.700000,14.700000,0
2019-02-28,15.170000,15.240000,14.390000,14.780000,14.780000,0
2019-03-01,14.570000,14.840000,13.410000,13.570000,13.570000,0
2019-03-04,13.770000,16.980000,13.380000,14.630000,14.630000,0
2019-03-05,14.520000,15.390000,14.260000,14.740000,14.740000,0
2019-03-06,14.910000,16.110001,14.740000,15.740000,15.740000,0
2019-03-07,16.330000,17.809999,15.540000,16.590000,16.590000,0
2019-03-08,17.379999,18.330000,16.020000,16.049999,16.049999,0
2019-03-11,16.280001,16.430000,14.330000,14.330000,14.330000,0
2019-03-12,13.970000,14.700000,13.610000,13.770000,13.770000,0
2019-03-13,14.000000,14.050000,13.250000,13.410000,13.410000,0
2019-03-14,13.350000,13.840000,13.160000,13.500000,13.500000,0
2019-03-15,13.210000,13.280000,12.500000,12.880000,12.880000,0
2019-03-18,13.130000,13.800000,13.000000,13.100000,13.100000,0
2019-03-19,12.890000,13.770000,12.370000,13.560000,13.560000,0
2019-03-20,13.540000,14.300000,13.050000,13.910000,13.910000,0
2019-03-21,14.110000,14.560000,13.260000,13.630000,13.630000,0
2019-03-22,13.770000,17.520000,13.620000,16.480000,16.480000,0
2019-03-25,17.760000,17.850000,16.260000,16.330000,16.330000,0
2019-03-26,16.219999,16.299999,14.670000,14.680000,14.680000,0
2019-03-27,14.520000,16.709999,14.510000,15.150000,15.150000,0
2019-03-28,15.380000,15.620000,14.410000,14.430000,14.430000,0
2019-03-29,14.190000,14.430000,13.640000,13.710000,13.710000,0
2019-04-01,13.900000,14.010000,13.320000,13.400000,13.400000,0
2019-04-02,13.620000,13.680000,13.130000,13.360000,13.360000,0
2019-04-03,13.060000,14.270000,12.850000,13.740000,13.740000,0
2019-04-04,13.840000,14.030000,13.400000,13.580000,13.580000,0
2019-04-05,13.460000,13.470000,12.170000,12.820000,12.820000,0
2019-04-08,13.550000,13.770000,13.100000,13.180000,13.180000,0
2019-04-09,13.460000,14.390000,13.310000,14.280000,14.280000,0
2019-04-10,14.090000,14.290000,13.270000,13.300000,13.300000,0
2019-04-11,13.370000,13.580000,12.910000,13.020000,13.020000,0
2019-04-12,12.960000,12.960000,11.950000,12.010000,12.010000,0
2019-04-15,12.460000,13.140000,12.240000,12.320000,12.320000,0
2019-04-16,12.260000,12.470000,11.850000,12.180000,12.180000,0
2019-04-17,12.120000,13.020000,11.030000,12.600000,12.600000,0
2019-04-18,12.800000,13.120000,12.020000,12.090000,12.090000,0
2019-04-19,null,null,null,null,null,null
2019-04-22,13.210000,13.360000,12.380000,12.420000,12.420000,0
2019-04-23,12.660000,12.690000,12.080000,12.280000,12.280000,0
2019-04-24,12.530000,13.230000,12.260000,13.140000,13.140000,0
2019-04-25,13.290000,14.300000,12.810000,13.250000,13.250000,0
2019-04-26,13.440000,13.620000,12.490000,12.730000,12.730000,0
2019-04-29,13.040000,13.270000,12.650000,13.110000,13.110000,0
2019-04-30,13.110000,14.050000,12.880000,13.120000,13.120000,0
2019-05-01,12.860000,14.830000,12.740000,14.800000,14.800000,0
2019-05-02,14.350000,15.920000,13.800000,14.420000,14.420000,0
2019-05-03,14.110000,14.150000,12.800000,12.870000,12.870000,0
2019-05-06,12.890000,18.799999,12.890000,15.440000,15.440000,0
2019-05-07,15.900000,21.840000,15.800000,19.320000,19.320000,0
2019-05-08,18.950001,21.740000,18.290001,19.400000,19.400000,0
2019-05-09,21.400000,23.379999,18.870001,19.100000,19.100000,0
2019-05-10,18.790001,20.190001,15.570000,16.040001,16.040001,0
2019-05-13,18.620001,21.320000,18.350000,20.549999,20.549999,0
2019-05-14,19.400000,19.650000,17.450001,18.059999,18.059999,0
2019-05-15,17.570000,19.150000,16.410000,16.440001,16.440001,0
2019-05-16,16.690001,17.129999,15.160000,15.290000,15.290000,0
2019-05-17,15.890000,16.809999,14.860000,15.960000,15.960000,0
2019-05-20,15.880000,17.629999,15.460000,16.309999,16.309999,0
2019-05-21,15.860000,16.219999,14.790000,14.950000,14.950000,0
2019-05-22,15.060000,15.440000,14.420000,14.750000,14.750000,0
